SECTOR(Billion USD),2013,2014,2015,2016,2017,2018,2019,2020,2021,2022(US$  billion)
Manufacturing,"6,380","9,613","8,439","11,972","7,066",9.6,9.6,9.3,16.3,11.3
financial services,"1,026","3,075","3,547","3,732","4,070",7.2,5.7,3.5,4.7,6.8
computer services,934,"2,154","4,319","1,937","3,173",3.7,5.1,23.8,9,5.6
retail and wholesale,"1,000","2,551","3,998","2,771","4,478",4.9,5.1,3.9,5.1,5.3
Business services,521,680,"3,031","2,684","3,005",2.8,3.8,1.8,2.5,2
"Education, Research & Development",150,107,131,394,205,0.9,0.8,1.3,3.6,1.9
